Current_Word,Next_Word,Levenshtein_Distance
ink,helps,5
helps,drive,5
drive,democracy,7
democracy,asia,8
asia,kyrgyz,6
kyrgyz,republic,8
republic,small,7
small,mountainous,10
mountainous,state,9
state,former,5
former,soviet,4
soviet,republic,8
republic,using,7
using,invisible,7
invisible,ink,7
ink,ultraviolet,10
ultraviolet,readers,10
readers,country,6
country,elections,8
elections,part,8
part,drive,5
drive,prevent,4
prevent,multiple,8
multiple,voting,6
voting,new,6
new,technology,9
technology,causing,8
causing,worries,6
worries,guarded,5
guarded,optimism,8
optimism,among,7
among,different,8
different,sectors,8
sectors,population,9
population,effort,9
effort,live,6
live,reputation,9
reputation,1990s,10
1990s,island,6
island,democracy,8
democracy,kyrgyz,8
kyrgyz,president,9
president,askar,8
askar,akaev,3
akaev,pushed,5
pushed,law,6
law,requiring,9
requiring,use,8
use,ink,3
ink,upcoming,6
upcoming,parliamentary,11
parliamentary,presidential,8
presidential,elections,9
elections,us,8
us,government,10
government,agreed,8
agreed,fund,5
fund,expenses,7
expenses,associated,9
associated,decision,8
decision,kyrgyz,8
kyrgyz,republic,8
republic,seen,7
seen,many,4
many,experts,7
experts,backsliding,11
backsliding,high,10
high,point,4
point,reached,7
reached,mid,6
mid,1990s,5
1990s,hastily,7
hastily,pushed,6
pushed,referendum,8
referendum,2003,10
2003,reducing,8
reducing,legislative,9
legislative,branch,10
branch,one,5
one,chamber,6
chamber,75,7
75,deputies,8
deputies,use,6
use,ink,3
ink,one,2
one,part,4
part,general,6
general,effort,6
effort,show,5
show,commitment,10
commitment,towards,9
towards,open,6
open,elections,7
elections,german,7
german,embassy,6
embassy,soros,6
soros,foundation,8
foundation,kyrgyz,10
kyrgyz,government,9
government,contributed,9
contributed,purchase,9
purchase,transparent,9
transparent,ballot,9
ballot,boxes,5
boxes,actual,6
actual,technology,8
technology,behind,8
behind,ink,4
ink,complicated,10
complicated,ink,10
ink,sprayed,7
sprayed,person,6
person,left,5
left,thumb,5
thumb,dries,5
dries,visible,6
visible,normal,6
normal,light,6
light,however,7
however,presence,7
presence,ultraviolet,9
ultraviolet,light,8
light,kind,4
kind,used,3
used,verify,6
verify,money,5
money,causes,5
causes,ink,6
ink,glow,4
glow,neon,3
neon,yellow,4
yellow,light,6
light,entrance,8
entrance,polling,7
polling,station,6
station,one,6
one,election,7
election,official,7
official,scan,6
scan,voter,5
voter,fingers,5
fingers,uv,7
uv,lamp,4
lamp,allowing,7
allowing,enter,8
enter,every,3
every,voter,4
voter,left,5
left,thumb,5
thumb,sprayed,7
sprayed,ink,7
ink,receiving,7
receiving,ballot,9
ballot,ink,6
ink,shows,5
shows,uv,5
uv,light,5
light,voter,5
voter,allowed,5
allowed,enter,6
enter,polling,7
polling,station,6
station,likewise,7
likewise,voter,7
voter,refuses,6
refuses,inked,6
inked,receive,6
receive,ballot,7
ballot,elections,8
elections,assuming,7
assuming,even,7
even,greater,5
greater,significance,10
significance,two,12
two,large,5
large,factors,6
factors,upcoming,7
upcoming,parliamentary,11
parliamentary,elections,11
elections,prelude,8
prelude,potentially,9
potentially,regime,9
regime,changing,6
changing,presidential,10
presidential,election,8
election,autumn,6
autumn,well,6
well,echo,4
echo,recent,4
recent,elections,6
elections,former,9
former,soviet,4
soviet,republics,8
republics,notably,7
notably,ukraine,6
ukraine,georgia,6
georgia,use,7
use,ink,3
ink,controversial,12
controversial,especially,11
especially,among,10
among,groups,5
groups,perceived,8
perceived,pro,7
pro,government,9
government,widely,9
widely,circulated,8
circulated,articles,8
articles,compared,7
compared,use,7
use,ink,3
ink,rural,5
rural,practice,7
practice,marking,6
marking,sheep,7
sheep,still,4
still,common,6
common,metaphor,7
metaphor,primarily,8
primarily,agricultural,9
agricultural,society,10
society,author,7
author,one,6
one,article,6
article,began,7
began,petition,6
petition,drive,7
drive,use,4
use,ink,3
ink,greatest,8
greatest,part,6
part,opposition,8
opposition,ink,9
ink,often,5
often,sheer,4
sheer,ignorance,8
ignorance,local,7
local,newspapers,9
newspapers,carried,9
carried,stories,4
stories,ink,6
ink,harmful,7
harmful,radioactive,10
radioactive,even,10
even,ultraviolet,9
ultraviolet,readers,10
readers,may,6
may,cause,4
cause,health,5
health,problems,7
problems,others,5
others,aggressively,10
aggressively,middle,10
middle,road,5
road,coalition,7
coalition,non,7
non,governmental,10
governmental,organizations,11
organizations,lauded,12
lauded,move,5
move,important,7
important,step,8
step,forward,7
forward,type,7
type,ink,4
ink,used,4
used,many,4
many,elections,8
elections,world,9
world,countries,7
countries,varied,6
varied,serbia,5
serbia,south,5
south,africa,6
africa,indonesia,8
indonesia,turkey,8
turkey,common,6
common,type,6
type,ink,4
ink,elections,7
elections,indelible,8
indelible,visible,5
visible,ink,6
ink,elections,7
elections,afghanistan,10
afghanistan,showed,10
showed,improper,6
improper,use,7
use,type,3
type,ink,4
ink,cause,5
cause,additional,10
additional,problems,10
problems,use,7
use,invisible,7
invisible,ink,7
ink,without,6
without,problems,8
problems,elections,8
elections,numerous,7
numerous,rumors,4
rumors,spread,6
spread,serbia,4
serbia,example,7
example,christian,9
christian,islamic,8
islamic,leaders,7
leaders,assured,7
assured,populations,10
populations,use,10
use,contrary,8
contrary,religion,8
religion,rumours,7
rumours,associated,9
associated,remove,8
remove,ink,6
ink,various,6
various,soft,6
soft,drinks,6
drinks,solvents,6
solvents,cleaning,7
cleaning,products,8
products,put,5
put,forward,7
forward,however,6
however,reality,7
reality,ink,6
ink,effective,8
effective,getting,6
getting,cuticle,6
cuticle,thumb,6
thumb,difficult,8
difficult,wash,9
wash,ink,4
ink,stays,5
stays,finger,6
finger,least,6
least,hours,4
hours,week,5
week,use,3
use,ink,3
ink,readers,7
readers,panacea,6
panacea,election,8
election,ills,7
ills,passage,6
passage,inking,6
inking,law,6
law,nevertheless,11
nevertheless,clear,10
clear,step,4
step,forward,7
forward,towards,3
towards,free,6
free,fair,3
fair,elections,8
elections,country,8
country,widely,6
widely,watched,6
watched,parliamentary,11
parliamentary,elections,11
elections,scheduled,9
scheduled,february,6
february,david,8
david,mikosz,6
mikosz,works,5
works,ifes,4
ifes,international,11
international,non,10
non,profit,5
profit,organisation,9
organisation,supports,11
supports,building,7
building,democratic,10
democratic,societies,7
societies,microsoft,9
microsoft,seeking,9
seeking,spyware,6
spyware,trojan,6
trojan,microsoft,7
microsoft,investigating,11
investigating,trojan,11
trojan,program,4
program,attempts,8
attempts,switch,8
switch,firm,5
firm,anti,4
anti,spyware,7
spyware,software,3
software,spyware,3
spyware,tool,7
tool,released,8
released,microsoft,8
microsoft,last,7
last,weeks,5
weeks,downloaded,9
downloaded,six,10
six,million,6
million,people,7
people,stephen,5
stephen,toulouse,8
toulouse,security,8
security,manager,8
manager,microsoft,8
microsoft,said,8
said,malicious,7
malicious,program,9
program,called,7
called,bankash,6
bankash,trojan,6
trojan,sent,6
sent,e,3
e,mail,4
mail,attachment,9
attachment,microsoft,9
microsoft,said,8
said,believe,6
believe,program,7
program,widespread,8
widespread,recommended,10
recommended,users,10
users,use,2
use,anti,4
anti,virus,5
virus,program,6
program,program,0
program,attempts,8
attempts,disable,8
disable,delete,5
delete,microsoft,9
microsoft,anti,9
anti,spyware,7
spyware,tool,7
tool,suppress,8
suppress,warning,8
warning,messages,8
messages,given,7
given,users,5
users,may,5
may,also,4
also,try,4
try,steal,4
steal,online,6
online,banking,4
banking,passwords,8
passwords,personal,6
personal,information,10
information,tracking,9
tracking,users,8
users,keystrokes,7
