Current_Word,Next_Word,Levenshtein_Distance
rivals,400,6
400,apple,5
apple,mac,5
mac,mini,3
mini,cheapest,8
cheapest,apple,6
apple,computer,6
computer,ever,6
ever,though,6
though,cheap,5
cheap,mac,4
mac,compare,5
compare,pcs,6
pcs,cost,3
cost,amount,4
amount,dot,4
dot,life,4
life,tries,4
tries,find,4
find,get,4
get,money,4
money,stick,5
stick,beige,4
beige,box,4
box,extremely,9
extremely,small,7
small,computer,7
computer,designed,7
designed,bring,6
bring,macintosh,7
macintosh,masses,6
masses,apple,5
apple,offer,5
offer,less,5
less,powerful,7
powerful,mac,8
mac,mini,3
mini,339,4
339,399,1
399,models,6
models,1,6
1,4ghz,4
4ghz,power,5
power,pc,4
pc,chip,4
chip,80,4
80,gigabyte,8
gigabyte,hard,7
hard,drive,5
drive,combined,6
combined,cd,6
cd,burner,6
burner,dvd,6
dvd,player,6
player,comes,5
comes,equipped,7
equipped,usb,7
usb,firewire,8
firewire,ports,7
ports,peripheral,8
peripheral,connections,11
connections,ethernet,10
ethernet,port,6
port,broadband,8
broadband,port,8
port,standard,7
standard,video,7
video,output,6
output,audio,5
audio,headphone,7
headphone,jack,8
jack,machine,5
machine,comes,6
comes,mac,4
mac,os,3
os,x,2
x,apple,5
apple,operating,8
operating,system,8
system,software,6
software,suite,5
suite,ilife,3
ilife,includes,5
includes,itunes,4
itunes,iphoto,5
iphoto,imovie,5
imovie,idvd,4
idvd,garageband,9
garageband,monitor,10
monitor,keyboard,7
keyboard,mouse,7
mouse,also,4
also,built,5
built,support,5
support,wireless,8
wireless,technology,9
technology,speakers,10
speakers,lack,7
lack,dvd,4
dvd,burner,6
burner,omission,8
omission,age,8
age,backing,6
backing,important,8
important,software,7
software,wireless,8
wireless,dvd,8
dvd,burner,6
burner,added,5
added,extra,5
extra,cost,5
cost,apple,5
apple,targeting,8
targeting,people,8
people,already,7
already,main,6
main,computer,7
computer,want,7
want,upgrade,6
upgrade,especially,8
especially,pc,8
pc,users,5
users,used,2
used,apple,5
apple,ipod,4
ipod,compact,6
compact,stylish,7
stylish,mac,7
mac,mini,3
mini,would,5
would,look,4
look,place,4
place,home,4
home,apple,4
apple,computers,7
computers,famously,7
famously,user,6
user,friendly,7
friendly,offer,7
offer,much,5
much,better,6
better,network,4
network,security,7
security,means,7
means,fewer,4
fewer,viruses,6
viruses,package,7
package,software,6
software,comes,7
comes,machine,6
machine,best,7
best,money,5
money,buy,4
buy,mac,3
mac,mini,3
mini,box,4
box,already,7
already,monitor,7
monitor,etc,6
etc,adding,6
adding,package,6
package,sees,7
sees,value,5
value,money,5
money,begin,5
begin,dwindle,6
dwindle,macs,7
macs,offer,5
offer,upgrade,7
upgrade,flexibility,11
flexibility,pc,11
pc,machine,6
machine,specifications,11
specifications,lack,13
lack,horse,5
horse,power,4
power,tasks,5
tasks,high,5
high,end,4
end,video,4
video,editing,6
editing,games,7
games,mac,4
mac,mini,3
mini,puts,4
puts,macintosh,7
macintosh,within,7
within,reach,6
reach,everyone,7
everyone,apple,7
apple,spokesman,7
spokesman,said,8
said,bring,4
bring,customers,9
customers,platform,7
platform,especially,9
especially,pc,8
pc,users,5
users,owners,3
owners,entry,4
entry,level,5
level,machine,7
machine,designed,6
designed,basic,6
basic,home,5
home,use,3
use,2,3
2,6ghz,4
6ghz,intel,5
intel,celeron,6
celeron,chip,6
chip,40,4
40,gigabyte,8
gigabyte,hard,7
hard,drive,5
drive,256mb,5
256mb,combined,7
combined,cd,6
cd,burner,6
burner,dvd,6
dvd,player,6
player,comes,5
comes,equipped,7
equipped,17,8
17,inch,4
inch,monitor,6
monitor,keyboard,7
keyboard,mouse,7
mouse,machine,5
machine,6,7
6,usb,3
usb,ports,5
ports,ethernet,7
ethernet,port,6
port,broadband,8
broadband,connection,10
connection,also,9
also,port,4
port,standard,7
standard,video,7
video,output,6
output,machine,7
machine,comes,6
comes,windows,6
windows,xp,7
xp,home,4
home,edition,7
edition,provides,7
provides,basic,7
basic,home,5
home,tools,4
tools,media,5
media,player,6
player,word,6
word,processor,8
processor,dvd,9
dvd,burner,6
burner,wireless,6
wireless,components,8
components,built,9
built,wireless,7
wireless,dvd,8
dvd,burner,6
burner,added,5
added,extra,5
extra,cost,5
cost,homes,4
homes,small,5
small,offices,7
offices,including,9
including,looking,6
looking,add,7
add,low,3
low,cost,3
cost,second,4
second,computer,8
computer,cost,5
cost,clear,4
clear,advantage,8
advantage,dell,8
dell,provides,7
provides,enough,7
enough,power,5
power,software,5
software,basic,8
basic,gaming,4
gaming,internet,7
internet,surfing,7
surfing,easily,6
easily,upgradeable,9
upgradeable,bigger,9
bigger,hard,6
hard,drive,5
drive,better,5
better,sound,6
sound,graphics,8
graphics,cards,6
cards,added,4
added,dell,4
dell,hardly,5
hardly,stylish,7
stylish,hard,7
hard,drive,5
drive,small,5
small,size,4
size,anyone,5
anyone,wanting,4
wanting,store,6
store,photos,5
photos,decent,6
decent,sized,5
sized,digital,6
digital,music,6
music,collection,9
collection,machine,8
machine,small,6
small,businesses,9
businesses,people,9
people,want,6
want,second,5
second,computer,8
computer,basic,8
basic,home,5
home,use,3
use,perhaps,7
perhaps,kids,6
kids,bedroom,6
bedroom,spokesman,8
spokesman,dell,8
dell,said,4
said,think,4
think,offer,5
offer,better,4
better,value,5
value,realise,4
realise,extras,6
extras,needed,6
needed,mac,6
mac,mini,3
mini,desktop,7
desktop,computer,7
computer,pc,7
pc,pro,2
pro,magazine,8
magazine,dubbed,8
dubbed,best,5
best,performer,8
performer,group,7
group,test,5
test,machines,7
machines,cost,7
cost,399,4
399,469,2
469,including,9
including,vat,9
vat,good,4
good,basic,5
basic,pc,4
pc,according,8
according,pc,8
pc,pro,2
pro,superb,4
superb,upgrade,5
upgrade,potential,9
potential,money,7
money,get,4
get,1,3
1,8ghz,4
8ghz,amd,4
amd,sempron,6
sempron,processor,8
processor,512mb,9
512mb,ram,4
ram,120gb,5
120gb,hard,5
hard,drive,5
drive,dvd,3
dvd,writer,6
writer,16,6
16,inch,4
inch,monitor,6
monitor,mouse,5
mouse,keyboard,7
keyboard,windows,7
windows,xp2,7
xp2,much,4
much,basics,5
basics,cannot,5
cannot,handle,4
handle,3d,5
3d,graphics,8
graphics,firewire,7
firewire,slots,8
slots,limited,6
limited,budget,6
budget,want,5
want,machine,5
machine,add,6
add,improve,7
improve,cash,7
cash,allows,6
allows,cheap,6
cheap,plenty,5
plenty,room,6
room,improve,5
improve,could,7
could,end,4
end,making,5
making,expensive,8
expensive,long,8
long,run,3
run,good,4
good,basic,5
basic,workhorse,9
workhorse,pretty,8
pretty,monitor,6
monitor,rather,6
rather,flat,5
flat,panel,5
panel,display,6
display,upgrades,8
upgrades,offered,7
offered,jal,7
jal,basic,4
basic,model,5
model,pricey,5
pricey,might,5
might,find,4
find,want,3
want,chop,4
chop,change,4
change,quite,5
quite,quickly,4
quickly,nick,4
nick,ross,4
ross,deputy,6
deputy,labs,6
labs,editor,6
editor,pc,6
pc,pro,2
pro,said,4
said,important,8
important,point,5
point,buying,4
buying,cheap,6
cheap,cheerful,5
cheerful,pc,8
pc,upgrade,6
upgrade,path,5
path,interest,7
interest,switched,7
switched,processor,9
processor,power,5
power,graphics,7
graphics,sound,8
sound,cards,5
cards,makes,3
makes,difference,9
difference,games,9
games,even,4
even,manufacturers,12
manufacturers,going,13
going,marketing,6
marketing,machines,6
machines,faster,6
faster,said,5
said,ll,4
ll,emphasise,9
emphasise,different,9
different,features,7
features,computer,6
computer,built,7
built,bits,3
bits,buy,3
buy,put,2
put,together,7
together,surprisingly,12
surprisingly,good,12
good,pc,4
pc,sporting,7
sporting,amd,8
amd,athlon,5
athlon,xp,6
xp,2500,4
2500,processor,9
processor,512,9
512,megabytes,9
megabytes,ram,8
ram,graphics,6
graphics,card,7
card,128,4
128,ram,3
ram,board,4
board,plus,5
plus,tv,4
tv,40,2
40,gb,2
gb,hard,4
hard,drive,5
drive,cd,5
cd,writer,6
writer,dvd,6
dvd,player,6
player,windows,7
windows,xp,7
xp,home,4
home,anything,7
anything,else,8
else,re,3
re,building,8
building,buy,6
buy,software,8
software,want,6
want,install,6
install,trouble,6
trouble,shooting,7
shooting,tech,7
tech,support,7
support,building,7
building,machine,6
machine,easier,5
easier,used,4
used,need,2
need,read,2
read,specifications,12
specifications,carefully,13
carefully,make,7
make,sure,3
sure,parts,4
parts,work,4
work,together,7
together,experienced,9
experienced,keen,8
keen,pc,4
pc,users,5
users,building,7
building,pc,8
pc,upgrading,8
upgrading,one,8
one,great,4
great,way,4
way,improve,7
improve,understanding,12
understanding,works,12
works,cheap,5
cheap,specify,6
specify,exactly,5
exactly,want,5
want,get,3
get,thrill,6
thrill,putting,6
putting,together,7
together,bigger,5
bigger,thrill,6
thrill,everything,8
everything,works,9
works,built,5
built,won,5
won,able,4
able,much,4
much,start,5
start,buying,6
buying,software,8
software,starts,5
starts,go,6
go,wrong,4
wrong,might,5
might,take,5
take,lot,4
lot,fixing,6
fixing,gavin,4
gavin,cox,5
cox,excellent,8
excellent,buildyourown,12
buildyourown,org,10
org,uk,3
uk,website,7
website,put,6
put,tough,4
tough,obtain,6
obtain,build,5
build,pc,5
pc,ever,4
ever,compact,7
compact,charming,7
charming,mac,7
mac,mini,3
mini,performance,9
performance,wise,10
wise,cutting,6
cutting,edge,7
edge,barely,5
barely,entry,5
entry,level,5
level,today,5
today,market,6
market,mac,4
mac,mini,3
mini,believe,6
believe,hold,6
hold,even,4
even,pull,4
pull,tricks,6
tricks,says,5
says,gavin,4
gavin,cox,5
cox,good,3
good,news,4
news,machine,7
machine,eminently,8
eminently,expandable,7
expandable,contrast,9
contrast,says,7
says,mr,4
mr,cox,3
cox,mac,3
mac,mini,3
mini,almost,5
almost,disposable,8
disposable,,10
latest,opera,5
opera,browser,5
browser,gets,6
gets,vocal,5
vocal,net,5
net,browser,6
browser,opera,5
opera,8,5
8,0,1
0,due,3
due,official,8
official,release,8
release,end,6
end,next,3
next,month,4
month,accessible,10
accessible,browser,9
browser,market,6
market,according,8
according,authors,7
authors,latest,6
latest,version,7
version,net,6
net,browser,6
browser,controlled,7
controlled,voice,8
voice,command,6
command,read,5
read,pages,5
pages,aloud,5
aloud,voice,5
voice,features,7
features,based,6
based,ibm,5
ibm,technology,10
technology,currently,8
currently,available,8
available,windows,8
windows,version,7
version,opera,6
opera,also,5
also,magnify,6
magnify,text,7
text,10,4
10,times,5
times,users,4
users,create,5
create,style,5
style,sheets,5
sheets,developers,7
developers,say,10
say,enable,5
enable,view,6
view,pages,4
pages,colours,6
colours,fonts,5
fonts,prefer,6
prefer,browser,4
browser,yet,6
yet,work,4
work,well,3
well,screen,5
screen,reader,5
reader,software,7
software,often,5
often,used,4
used,blind,4
blind,people,6
people,accessibility,11
accessibility,features,12
features,likely,8
likely,appeal,5
appeal,residual,6
residual,vision,6
vision,mission,2
mission,always,7
always,provide,7
provide,best,7
best,internet,6
internet,experience,7
experience,everyone,5
everyone,said,8
said,opera,5
opera,spokeswoman,8
spokeswoman,berit,10
berit,hanson,6
hanson,would,6
would,obviously,6
obviously,want,9
want,exclude,7
exclude,disabled,7
disabled,computer,7
computer,users,6
users,another,6
another,feature,6
feature,likely,7
likely,appeal,5
appeal,people,5
people,low,5
low,vision,5
vision,ability,5
ability,make,7
make,pages,3
pages,fit,5
fit,screen,6
screen,width,6
width,eliminates,8
eliminates,need,8
need,horizontal,9
horizontal,scrolling,9
scrolling,company,6
company,points,6
points,also,6
also,appeal,5
appeal,anyone,5
anyone,using,5
using,opera,5
opera,handheld,7
handheld,device,7
device,company,7
company,says,6
says,features,6
features,like,7
like,voice,3
voice,activation,8
activation,solely,10
solely,aimed,5
aimed,visually,7
visually,impaired,7
impaired,people,7
people,idea,6
idea,take,4
take,first,5
first,step,5
step,making,6
making,human,5
human,computer,7
computer,interaction,10
interaction,natural,8
natural,said,6
said,ms,4
ms,hanson,5
hanson,people,6
people,always,6
always,situation,8
situation,access,9
access,keyboard,8
keyboard,makes,8
makes,web,4
web,hands,5
hands,free,5
free,experience,7
experience,unlike,8
unlike,commercially,11
commercially,available,10
available,voice,6
voice,recognition,9
recognition,software,10
software,opera,6
opera,trained,7
trained,recognise,8
recognise,individual,10
individual,voice,9
voice,around,5
around,50,6
